Price,Promotional_Price,Url
,"219,-",https://www.coolblue.nl/en/product/715902/bowers-wilkins-ccm362-black-per-pair.html
,"229,-",https://www.coolblue.nl/en/product/802514/jamo-s-8-atmos-black-per-pair.html
"249,-","237,-",https://www.coolblue.nl/en/second-chance-product/714203
"318,-","257,-",https://www.coolblue.nl/en/second-chance-product/661023
,"249,-",https://www.coolblue.nl/en/product/825815/quadral-breeze-l-white.html
,"349,-",https://www.coolblue.nl/en/product/129467/harman-kardon-hkts-9bq-set.html
,"189,-",https://www.coolblue.nl/en/product/693447/artsound-uni40-white-per-pair.html
"299,-","276,-",https://www.coolblue.nl/en/second-chance-product/695654
,"298,-",https://www.coolblue.nl/en/product/821743/dali-alecto-c-1-black-per-pair.html
,"300,-",https://www.coolblue.nl/en/product/682982/kef-ci160qs-white-per-unit.html
,"279,-",https://www.coolblue.nl/en/product/679118/kef-t301c-white.html
,"229,-",https://www.coolblue.nl/en/product/802518/jamo-s-8-atmos-white-per-pair.html
,"249,-",https://www.coolblue.nl/en/product/815468/q-acoustics-3010i-white-per-pair.html
,"199,-",https://www.coolblue.nl/en/product/432816/jamo-sub-210-high-gloss-white.html
,"258,-",https://www.coolblue.nl/en/product/796830/dali-spektor-2-walnut-per-pair.html
,"349,-",https://www.coolblue.nl/en/product/716488/jbl-studio-sub-250p.html
,"749,-",https://www.coolblue.nl/en/product/807665/kef-kube12b.html
"219,-","199,-",https://www.coolblue.nl/en/product/560413/artsound-as410-white-per-pair.html
,"249,-",https://www.coolblue.nl/en/product/560061/yamaha-ns-sw200-black.html
,"229,-",https://www.coolblue.nl/en/product/558115/jamo-j-10-white.html
,"198,-",https://www.coolblue.nl/en/product/796827/dali-spektor-1-black-per-pair.html
,"499,-",https://www.coolblue.nl/en/product/795433/kef-q550-black-per-unit.html
,"229,-",https://www.coolblue.nl/en/product/801849/jamo-s-803-bookshelf-speaker-black-per-pair.html
,"169,-",https://www.coolblue.nl/en/product/802541/jamo-s-81-center-speakers-white.html
"249,-","235,-",https://www.coolblue.nl/en/second-chance-product/703299
,"149,99",https://www.coolblue.nl/en/product/550220/cambridge-audio-minx-min-22-black-per-unit.html
,"75,-",https://www.coolblue.nl/en/product/550103/cambridge-audio-minx-min-12-white-per-unit.html
,"179,-",https://www.coolblue.nl/en/product/802411/jamo-s-801-bookshelf-speaker-white-per-pair.html
"279,-","258,-",https://www.coolblue.nl/en/second-chance-product/685919
,"199,-",https://www.coolblue.nl/en/product/715673/jbl-arena-120-black-per-pair.html
,"75,-",https://www.coolblue.nl/en/product/550097/cambridge-audio-minx-min-12-black-per-unit.html
"198,-","174,-",https://www.coolblue.nl/en/second-chance-product/690803
,"349,-",https://www.coolblue.nl/en/product/825800/quadral-breeze-xl-black.html
,"199,-",https://www.coolblue.nl/en/product/815450/q-acoustics-3090ci-white.html
,"399,-",https://www.coolblue.nl/en/product/803616/focal-cub-evo.html
,"449,-",https://www.coolblue.nl/en/product/821185/bowers-wilkins-asw608-black.html
,"249,-",https://www.coolblue.nl/en/product/819768/klipsch-r-41m-per-pair.html
"169,-","125,-",https://www.coolblue.nl/en/second-chance-product/666102
,"1.099,-",https://www.coolblue.nl/en/product/821190/bowers-wilkins-asw610xp-white.html
"149,99","132,-",https://www.coolblue.nl/en/second-chance-product/690373
,"1.099,-",https://www.coolblue.nl/en/product/821189/bowers-wilkins-asw610xp-black.html
,"1.198,-",https://www.coolblue.nl/en/product/803939/kef-ls50-black-edition-per-pair.html
,"549,-",https://www.coolblue.nl/en/product/807642/kef-kube8b.html
,"519,-",https://www.coolblue.nl/en/product/632331/onkyo-sks-ht588-set.html
,"698,-",https://www.coolblue.nl/en/product/808546/kef-q50a-dolby-atmos-speaker-black-per-pair.html
"599,-","513,-",https://www.coolblue.nl/en/second-chance-product/710518
,"89,-",https://www.coolblue.nl/en/product/693431/artsound-uni20-white-per-pair.html
,"149,50",https://www.coolblue.nl/en/product/816652/quadral-quintas-606-ii-per-piece.html
"199,-","184,-",https://www.coolblue.nl/en/second-chance-product/719607
,"399,-",https://www.coolblue.nl/en/product/787357/kef-egg-white-per-pair.html
"249,-","235,-",https://www.coolblue.nl/en/second-chance-product/719938
,"169,-",https://www.coolblue.nl/en/product/802528/jamo-s-81-center-speakers-black.html
,"119,-",https://www.coolblue.nl/en/product/693443/artsound-uni30-white-per-pair.html
,"249,-",https://www.coolblue.nl/en/product/802500/jamo-s-808-subwoofer-white.html
,"179,-",https://www.coolblue.nl/en/product/802400/jamo-s-801-bookshelf-speaker-black-per-pair.html
,"172,-",https://www.coolblue.nl/en/product/713209/pioneer-s-21w.html
,"188,-",https://www.coolblue.nl/en/product/790811/wharfedale-diamond-220c-black.html
,"60,-",https://www.coolblue.nl/en/product/684730/kef-ci50-brushed-white-per-unit.html
,"60,-",https://www.coolblue.nl/en/product/684727/kef-ci50-brushed-steel-per-unit.html
,"249,-",https://www.coolblue.nl/en/product/683618/jbl-control-x-black-per-pair.html
,"199,-",https://www.coolblue.nl/en/product/677796/kef-t101c-black.html
,"279,-",https://www.coolblue.nl/en/product/679115/kef-t301c-black.html
,"199,-",https://www.coolblue.nl/en/product/677797/kef-t101c-white.html
,"299,-",https://www.coolblue.nl/en/product/802496/jamo-s-810-subwoofer-white.html
,"299,-",https://www.coolblue.nl/en/product/802412/jamo-s-810-subwoofer-black.html
,"269,-",https://www.coolblue.nl/en/product/801856/jamo-s-803-bookshelf-speaker-white-per-pair.html
,"349,-",https://www.coolblue.nl/en/product/825831/quadral-breeze-xl-white.html
,"89,-",https://www.coolblue.nl/en/product/693422/artsound-uni20-black-per-pair.html
,"349,-",https://www.coolblue.nl/en/product/412488/jbl-cinema-610-set.html
"188,-","163,-",https://www.coolblue.nl/en/second-chance-product/690882
,"179,-",https://www.coolblue.nl/en/product/559265/yamaha-ns-c444-black.html
,"103,-",https://www.coolblue.nl/en/product/396542/pioneer-s-es21-cr-k-set.html
,"298,-",https://www.coolblue.nl/en/product/821744/dali-alecto-c-1-brown-per-pair.html
,"199,-",https://www.coolblue.nl/en/product/432810/jamo-sub-210-black.html
,"249,-",https://www.coolblue.nl/en/product/825812/quadral-breeze-l-black.html
,"79,-",https://www.coolblue.nl/en/product/816656/quadral-quintas-601-ii-base-per-piece.html
"249,-","237,-",https://www.coolblue.nl/en/second-chance-product/706222
,"449,-",https://www.coolblue.nl/en/product/560054/yamaha-ns-sw300-black.html
"299,-","243,-",https://www.coolblue.nl/en/second-chance-product/695209
,"449,-",https://www.coolblue.nl/en/product/560051/yamaha-ns-sw300-gloss-black.html
,"229,-",https://www.coolblue.nl/en/product/559256/yamaha-ns-555-black-per-unit.html
"349,-","332,-",https://www.coolblue.nl/en/second-chance-product/704975
"89,-","78,-",https://www.coolblue.nl/en/second-chance-product/690383
,"139,-",https://www.coolblue.nl/en/product/546125/jbl-control-one-black-per-pair.html
,"149,-",https://www.coolblue.nl/en/product/787142/polk-t15-per-pair.html
,"139,-",https://www.coolblue.nl/en/product/816653/quadral-quintas-602-per-pair.html
,"179,99",https://www.coolblue.nl/en/product/644104/yamaha-ns-p-51-black-set.html
,"229,-",https://www.coolblue.nl/en/product/558113/jamo-j-10-black.html
,"239,-",https://www.coolblue.nl/en/product/716486/jbl-studio-220-per-pair.html
,"175,-",https://www.coolblue.nl/en/product/715672/jbl-arena-125c-black-per-stuk.html
,"284,-",https://www.coolblue.nl/en/product/489548/bose-151-ii-wit-per-paar.html
,"225,-",https://www.coolblue.nl/en/product/716084/bowers-wilkins-m1-black-per-unit.html
,"199,-",https://www.coolblue.nl/en/product/815444/q-acoustics-3090ci-black.html
,"224,-",https://www.coolblue.nl/en/product/573416/yamaha-ns-333-black-per-pair.html
